State,District,Number of Hotels/Guest Houses,Bed capacity (in Number)
Himachal Pradesh,Bilaspur,88,1793
Himachal Pradesh,Chamba,267,6590
Himachal Pradesh,Hamirpur,70,1054
Himachal Pradesh,Kangra,807,20156
Himachal Pradesh,Kinnaur,150,4774
Himachal Pradesh,Kullu,1189,33976
Himachal Pradesh,Lahaul-spiti,127,3320
Himachal Pradesh,Mandi,238,4405
Himachal Pradesh,Shimla,556,19600
Himachal Pradesh,Sirmaur,126,3011
Himachal Pradesh,Solan,362,10602
Himachal Pradesh,Una,118,2544
Himachal Pradesh,Total,4098,111825
